1.340,1.204,-0.575,-1.398,-1.443,-0.632,-0.722
1.360,1.174,-0.585,-1.413,-1.509,-0.507,-0.754
1.380,1.142,-0.592,-1.429,-1.572,-0.380,-0.786
1.400,1.109,-0.597,-1.445,-1.635,-0.251,-0.817
1.420,1.076,-0.600,-1.462,-1.695,-0.121,-0.847
1.440,1.040,-0.600,-1.480,-1.753,0.009,-0.877
1.460,1.004,-0.597,-1.498,-1.810,0.140,-0.905
1.480,0.967,-0.591,-1.517,-1.865,0.270,-0.932
1.500,0.929,-0.583,-1.536,-1.917,0.398,-0.959
1.520,0.889,-0.573,-1.555,-1.968,0.525,-0.984
1.540,0.849,-0.560,-1.576,-2.016,0.650,-1.008
1.560,0.808,-0.544,-1.596,-2.062,0.772,-1.031
1.580,0.766,-0.527,-1.617,-2.106,0.890,-1.053
1.600,0.723,-0.507,-1.639,-2.148,1.005,-1.074
1.620,0.679,-0.484,-1.661,-2.187,1.115,-1.094
1.640,0.634,-0.460,-1.683,-2.224,1.220,-1.112
1.660,0.589,-0.433,-1.705,-2.259,1.320,-1.129
1.680,0.543,-0.405,-1.728,-2.291,1.415,-1.145
1.700,0.497,-0.375,-1.751,-2.320,1.503,-1.160
1.720,0.450,-0.343,-1.775,-2.347,1.584,-1.174
1.740,0.403,-0.310,-1.799,-2.372,1.659,-1.186
1.760,0.355,-0.276,-1.823,-2.394,1.727,-1.197
1.780,0.306,-0.240,-1.847,-2.413,1.787,-1.207
1.800,0.258,-0.203,-1.871,-2.430,1.839,-1.215
1.820,0.209,-0.166,-1.895,-2.444,1.883,-1.222
1.840,0.160,-0.127,-1.920,-2.455,1.919,-1.228
1.860,0.111,-0.088,-1.945,-2.464,1.947,-1.232
1.880,0.061,-0.049,-1.969,-2.470,1.966,-1.235
1.900,0.012,-0.009,-1.994,-2.473,1.976,-1.237
1.920,-0.038,0.030,-2.019,-2.474,1.979,-1.237
1.940,-0.087,0.070,-2.044,-2.472,1.972,-1.236
1.960,-0.136,0.109,-2.068,-2.467,1.957,-1.234
1.980,-0.186,0.147,-2.093,-2.460,1.933,-1.230
2.000,-0.235,0.185,-2.117,-2.449,1.901,-1.225
2.020,-0.283,0.223,-2.142,-2.437,1.861,-1.218
2.040,-0.332,0.259,-2.166,-2.421,1.812,-1.211
2.060,-0.380,0.294,-2.190,-2.403,1.756,-1.202
2.080,-0.428,0.328,-2.214,-2.383,1.692,-1.191
2.100,-0.475,0.360,-2.237,-2.359,1.621,-1.180
2.120,-0.521,0.391,-2.261,-2.334,1.542,-1.167
2.140,-0.567,0.420,-2.284,-2.305,1.457,-1.153
2.160,-0.613,0.448,-2.306,-2.274,1.366,-1.137
2.180,-0.658,0.473,-2.329,-2.241,1.269,-1.120
2.200,-0.702,0.496,-2.351,-2.205,1.166,-1.103
2.220,-0.745,0.517,-2.373,-2.167,1.058,-1.083
2.240,-0.788,0.536,-2.394,-2.126,0.945,-1.063
2.260,-0.829,0.553,-2.415,-2.084,0.828,-1.042
2.280,-0.870,0.567,-2.435,-2.038,0.708,-1.019
2.300,-0.910,0.579,-2.455,-1.991,0.585,-0.996
2.320,-0.949,0.588,-2.474,-1.942,0.459,-0.971
2.340,-0.987,0.595,-2.493,-1.890,0.331,-0.945
2.360,-1.023,0.599,-2.512,-1.836,0.202,-0.918
2.380,-1.059,0.600,-2.529,-1.781,0.071,-0.890
2.400,-1.093,0.599,-2.547,-1.723,-0.059,-0.862
2.420,-1.127,0.595,-2.563,-1.664,-0.189,-0.832
2.440,-1.159,0.589,-2.579,-1.602,-0.319,-0.801
2.460,-1.190,0.580,-2.595,-1.539,-0.447,-0.770
2.480,-1.219,0.568,-2.610,-1.474,-0.573,-0.737
2.500,-1.247,0.554,-2.624,-1.408,-0.697,-0.704
2.520,-1.274,0.538,-2.637,-1.340,-0.817,-0.670
2.540,-1.299,0.519,-2.650,-1.271,-0.934,-0.636
2.560,-1.323,0.498,-2.662,-1.200,-1.047,-0.600
2.580,-1.346,0.475,-2.673,-1.128,-1.156,-0.564
2.600,-1.367,0.450,-2.684,-1.055,-1.259,-0.528
2.620,-1.387,0.423,-2.693,-0.981,-1.357,-0.490
2.640,-1.405,0.394,-2.702,-0.905,-1.449,-0.453
2.660,-1.421,0.363,-2.711,-0.829,-1.535,-0.414
2.680,-1.436,0.331,-2.718,-0.752,-1.614,-0.376
2.700,-1.450,0.297,-2.725,-0.673,-1.686,-0.337
2.720,-1.462,0.262,-2.731,-0.595,-1.750,-0.297
2.740,-1.472,0.226,-2.736,-0.515,-1.807,-0.257
2.760,-1.481,0.189,-2.740,-0.435,-1.857,-0.217
2.780,-1.488,0.151,-2.744,-0.354,-1.898,-0.177
